date,match_up,w_l,min,bos_pts,total_fgm,total_fga,total_fg_per,two_pt_made,two_pt_att,two_pt_per,three_pt_made,three_pt_att,three_pt_per,ftm,fta,ft_per,oreb,dreb,total_reb,ast,per_fg_ast,tov,stl,blk,pf
4/9/2023,ATL,W,48,120,42,89,47.2,17,35,48.5,25,54,46.3,11,14,78.6,12,35,47,33,78.5,15,5,3,13
4/7/2023,TOR,W,48,121,45,81,55.6,30,37,81.0,15,44,34.1,16,21,76.2,13,40,53,37,82.2,21,4,7,14
4/5/2023,TOR,W,48,97,38,89,42.7,27,51,52.9,11,38,28.9,10,18,55.6,11,37,48,20,52.6,15,5,7,14
4/4/2023,PHI,L,48,101,38,91,41.8,23,46,50,15,45,33.3,10,16,62.5,13,30,43,28,73.6,8,4,4,17
3/31/2023,UTA,W,48,122,42,96,43.8,25,45,55.5,17,51,33.3,21,22,95.5,10,32,42,27,64.2,12,8,4,14
3/30/2023,MIL,W,48,140,51,91,56,29,48,60.4,22,43,51.2,16,20,80,7,40,47,28,54.9,9,8,5,18
3/28/2023,WAS,L,48,111,45,93,48.4,34,49,69.3,11,44,25,10,11,90.9,7,31,38,29,64.4,12,5,8,14
3/26/2023,SAS,W,48,137,52,91,57.1,34,47,72.3,18,44,40.9,15,21,71.4,9,52,61,29,55.7,15,4,11,18
3/24/2023,IND,W,48,120,44,93,47.3,26,51,50.9,18,42,42.9,14,19,73.7,9,40,49,28,63.6,15,11,6,15
3/21/2023,SAC,W,48,132,49,92,53.3,31,48,64.5,18,44,40.9,16,23,69.6,11,32,43,33,67.3,6,9,3,15
3/18/2023,UTA,L,48,117,42,88,47.7,20,37,54.0,22,51,43.1,11,16,68.8,5,35,40,30,71.4,8,2,2,17
3/17/2023,POR,W,48,126,41,87,47.1,26,45,57.7,15,42,35.7,29,35,82.9,18,34,52,29,70.7,18,12,2,19
3/15/2023,MIN,W,48,104,34,84,40.5,22,44,50,12,40,30,24,30,80,8,36,44,20,58.8,11,7,5,22
3/13/2023,HOU,L,48,109,39,87,44.8,27,45,60,12,42,28.6,19,21,90.5,10,28,38,19,48.7,14,7,5,22
3/11/2023,ATL,W,48,134,52,95,54.7,32,53,60.3,20,42,47.6,10,12,83.3,5,35,40,35,67.3,9,6,6,21
3/8/2023,POR,W,48,115,42,88,47.7,24,39,61.5,18,49,36.7,13,20,65,5,40,45,26,61.9,11,9,2,20
3/6/2023,CLE,L,53,114,42,101,41.6,26,53,49.0,16,48,33.3,14,21,66.7,15,37,52,25,59.5,14,5,5,21
3/5/2023,NYK,L,58,129,43,109,39.4,22,50,44,21,59,35.6,22,25,88,17,37,54,27,62.7,16,8,5,28
3/3/2023,BKN,L,48,105,41,84,48.8,32,55,58.1,9,29,31,14,20,70,9,39,48,26,63.4,19,8,8,19
3/1/2023,CLE,W,48,117,39,78,50,23,46,50,16,32,50,23,28,82.1,7,36,43,27,69.2,13,5,4,18
2/27/2023,NYK,L,48,94,37,84,44,28,42,66.6,9,42,21.4,11,14,78.6,7,28,35,21,56.7,12,5,8,22
2/25/2023,PHI,W,48,110,43,86,50,27,50,54,16,36,44.4,8,12,66.7,9,35,44,20,46.5,13,6,4,22
2/23/2023,IND,W,53,142,51,99,51.5,33,60,55,18,39,46.2,22,26,84.6,20,31,51,31,60.7,15,7,6,18
2/15/2023,DET,W,48,127,49,92,53.3,28,47,59.5,21,45,46.7,8,10,80,8,35,43,30,61.2,11,10,5,18
2/14/2023,MIL,L,53,125,46,99,46.5,29,49,59.1,17,50,34,16,20,80,8,36,44,28,60.8,13,8,1,26
2/12/2023,MEM,W,48,119,39,88,44.3,18,37,48.6,21,51,41.2,20,26,76.9,15,40,55,28,71.7,11,5,3,14
2/10/2023,CHA,W,48,127,44,89,49.4,19,34,55.8,25,55,45.5,14,17,82.4,5,38,43,34,77.2,15,7,7,22
2/8/2023,PHI,W,48,106,40,76,52.6,21,41,51.2,19,35,54.3,7,10,70,5,39,44,25,62.5,15,2,5,19
2/6/2023,DET,W,48,111,39,83,47,23,46,50,16,37,43.2,17,21,81,10,41,51,25,64.1,12,2,5,22
2/3/2023,PHX,L,48,94,29,75,38.7,19,37,51.3,10,38,26.3,26,31,83.9,3,40,43,18,62.0,15,5,3,21
2/1/2023,BKN,W,48,139,53,92,57.6,27,38,71.0,26,54,48.1,7,10,70,11,46,57,28,52.8,12,4,4,13
1/28/2023,LAL,W,53,125,39,84,46.4,26,44,59.0,13,40,32.5,34,39,87.2,7,39,46,18,46.1,12,8,9,22
1/26/2023,NYK,L,53,117,41,100,41,25,54,46.2,16,46,34.8,19,23,82.6,15,39,54,22,53.6,13,4,4,19
1/24/2023,MIA,L,48,95,32,74,43.2,22,42,52.3,10,32,31.3,21,27,77.8,5,39,44,21,65.6,17,5,6,22
1/23/2023,ORL,L,48,98,36,83,43.4,18,37,48.6,18,46,39.1,8,11,72.7,8,29,37,24,66.6,18,5,4,23
1/21/2023,TOR,W,48,106,38,85,44.7,22,50,44,16,35,45.7,14,15,93.3,11,30,41,25,65.7,15,9,8,17
1/19/2023,GSW,W,53,121,43,108,39.8,30,67,44.7,13,41,31.7,22,30,73.3,18,45,63,21,48.8,17,10,5,19
1/16/2023,CHA,W,48,130,43,87,49.4,23,44,52.2,20,43,46.5,24,25,96,14,33,47,34,79.0,12,1,4,21
1/14/2023,CHA,W,48,122,47,99,47.5,28,46,60.8,19,53,35.8,9,10,90,14,32,46,35,74.4,7,8,4,15
1/12/2023,BKN,W,48,109,41,86,47.7,29,50,58,12,36,33.3,15,17,88.2,12,36,48,23,56.0,14,4,6,15
1/11/2023,NOP,W,48,125,44,91,48.4,29,47,61.7,15,44,34.1,22,25,88,11,39,50,24,54.5,9,7,5,16
1/9/2023,CHI,W,48,107,38,87,43.7,27,46,58.6,11,41,26.8,20,21,95.2,9,41,50,25,65.7,9,2,7,12
1/7/2023,SAS,W,48,121,47,95,49.5,32,61,52.4,15,34,44.1,12,18,66.7,8,35,43,30,63.8,14,6,10,15
1/5/2023,DAL,W,48,124,41,84,48.8,25,41,60.9,16,43,37.2,26,31,83.9,10,42,52,29,70.7,11,6,8,22
1/3/2023,OKC,L,48,117,40,88,45.5,28,48,58.3,12,40,30,25,31,80.6,11,27,38,29,72.5,17,4,7,15
1/1/2023,DEN,L,48,111,40,87,46,31,54,57.4,9,33,27.3,22,27,81.5,10,31,41,30,75,13,8,3,15
